,NONE,CotemporalEvent,NextEvent,PreviousEvent,SameEvent,SuperEvent,SubEvent,Causes,Caused,Enables,Enabled
NONE,1236.0,2.0,0.0,36.0,4.0,1.0,0.0,17.0,1.0,0.0,0.0
CotemporalEvent,16.0,14.0,0.0,29.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0
NextEvent,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
PreviousEvent,43.0,10.0,0.0,135.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0
SameEvent,21.0,0.0,0.0,14.0,12.0,1.0,0.0,6.0,0.0,0.0,0.0
SuperEvent,12.0,1.0,0.0,12.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0
SubEvent,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
Causes,31.0,4.0,0.0,34.0,1.0,0.0,0.0,73.0,0.0,0.0,0.0
Caused,3.0,3.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0
Enables,0.0,1.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Enabled,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
