,NONE,CotemporalEvent,NextEvent,PreviousEvent,SameEvent,SuperEvent,SubEvent,Causes,Caused,Enables,Enabled
NONE,2500.0,18.0,3.0,64.0,45.0,12.0,0.0,35.0,5.0,0.0,2.0
CotemporalEvent,18.0,54.0,0.0,34.0,5.0,0.0,0.0,14.0,1.0,2.0,0.0
NextEvent,3.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
PreviousEvent,64.0,34.0,5.0,314.0,14.0,8.0,3.0,48.0,4.0,7.0,0.0
SameEvent,45.0,5.0,0.0,14.0,38.0,2.0,1.0,8.0,1.0,0.0,0.0
SuperEvent,12.0,0.0,1.0,8.0,2.0,18.0,1.0,6.0,5.0,0.0,0.0
SubEvent,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0
Causes,35.0,14.0,3.0,48.0,8.0,6.0,5.0,154.0,5.0,4.0,0.0
Caused,5.0,1.0,0.0,4.0,1.0,5.0,0.0,5.0,2.0,0.0,0.0
Enables,0.0,2.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
Enabled,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
